Nombre d'emprunt en cours : 13

ID EMPRUNT | ID ADHERENT | ID JEU |   DATE
1          | 1           | 11     | 15/12/2020
2          | 2           | 5      | 23/12/2020
3          | 3           | 10     | 04/01/2021
4          | 3           | 11     | 05/01/2021
5          | 8           | 5      | 05/01/2021
6          | 8           | 11     | 05/01/2021
7          | 8           | 10     | 06/01/2021
8          | 2           | 3      | 14/01/2021
9          | 2           | 11     | 15/01/2021
10         | 5           | 3      | 01/01/2021
11         | 3           | 11     | 02/01/2021
12         | 4           | 3      | 11/01/2021
13         | 1           | 10     | 07/01/2021
